set MONTH := 1 2 3 4 5 6 7 8 9 10 11 12;

param:       priceRVenus priceCVenus  priceIVenus  priceRMars priceCMars    priceIMars  priceRMercury priceCMercury priceIMercury :=
        1             12         13            10          10         23            20              8             8            10
        2             10         25            10          10         35            20              7             5            11
        3             10         28            10          10         38            20              7             8            10
        4             10         32            10          10         42            20              9            12            12
        5             22         32            10          10         42            20             12            12            13
        6             32         40            25          10         50            35             22            20            15
        7             13         45            52          10         55            62             18            35            22
        8             11         40            75          10         50            65             19            30            35
        9             10         35            20          10         45            30             15            25            30
        10            10         33            20          10         43            30              9            23            20
        11            10         20            15          10         30            25              7            20            15
        12            10         10            12          10         20            22              6            10            12 ;

end;
